"CREATE_DATE","COMPLETE_DATE","X_COORD","Y_COORD","CALL_CNT"
2014-04-18,2014-04-23,1170488.391,1917772.474,1
2014-04-18,2014-04-18,1184665.4,1875769.814,1
2014-04-18,2014-04-18,1130923.716,1939697.667,1
2014-04-18,2014-04-18,1157275.959,1869347.991,1
2014-04-18,2014-08-02,1167377.03,1852340.673,1
2014-04-18,2014-08-29,1194977.139,1849017.471,1
2014-04-18,2014-06-13,1190385.452,1846814.081,1
2014-04-18,2014-06-13,1203816.61,1836344.875,1
2014-04-18,2014-09-22,1177281.737,1901288.611,1
2014-04-18,2014-06-12,1169845.677,1857716.294,1
2014-04-18,2014-06-12,1132363.91,1861993.379,1
2014-04-18,2014-06-12,1137062.4,1913195.949,1
2014-04-18,2014-05-20,1165365.745,1865331.528,1
2014-04-18,2014-05-21,1193148.529,1856707.163,1
2014-04-18,2014-05-28,1132541.839,1861671.996,1
2014-04-18,2014-05-28,1138521.041,1861824.547,1
2014-04-18,2014-05-28,1136096.141,1862099.164,1
2014-04-18,2014-05-12,1168035.62,1836386.06,1
2014-04-18,2014-05-12,1166239.844,1845512.791,1
2014-04-18,2014-05-14,1137297.842,1860804.463,1
2014-04-18,2014-05-08,1179779.792,1855150.463,1
2014-04-18,2014-05-08,1174182.59,1834591.223,1
2014-04-18,2014-05-08,1153369.264,1860272.39,1
2014-04-18,2014-05-08,1161438.535,1851246.42,1
2014-04-18,2014-05-08,1196304.082,1848925.221,1
2014-04-18,2014-05-02,1147773.341,1849638.746,1
2014-04-18,2014-05-02,1131939.348,1861317.992,1
2014-04-18,2014-05-01,1141936.771,1903061.809,1
2014-04-19,2014-04-28,1205109.422,1833609.64,1
2014-04-19,2014-04-19,1147993.529,1891339.887,1
2014-04-19,2014-08-02,1168635.193,1842862.419,1
2014-04-19,2014-06-12,1189889.876,1853615.894,1
2014-04-19,2014-06-12,1139995.37,1915068.22,1
2014-04-19,2014-05-21,1179290.884,1857136.956,1
2014-04-19,2014-05-14,1137921.449,1869221.172,1
2014-04-19,2014-05-08,1151524.072,1906657.136,1
2014-04-20,2014-04-29,1195427.624,1840968.617,1
2014-04-20,2014-04-30,1157330.979,1935092.111,1
2014-04-20,2014-04-20,1165890.975,1846042.813,1
2014-04-20,2014-04-21,1140461.816,1921096.26,1
2014-04-20,2014-04-21,1153322.51,1928057.45,1
2014-04-20,2014-04-23,1147945.34,1923602.641,1
2014-04-20,2014-07-09,1195816.26,1855130.07,1
2014-04-20,2014-07-09,1165692.781,1853391.369,1
2014-04-20,2014-06-27,1166022.392,1853459.054,1
2014-04-20,2014-06-12,1167002.266,1854012.799,1
2014-04-20,2014-06-12,1149120.561,1910991.974,1
2014-04-20,2014-06-12,1168358.19,1852790.611,1
2014-04-20,2014-05-16,1176076.33,1837718.22,1
2014-04-20,2014-05-16,1181676.04,1838644.851,1
2014-04-20,2014-05-30,1174480.44,1835501.97,1
2014-04-20,2014-05-08,1150881.538,1905979.367,1
2014-04-20,2014-05-08,1164296.447,1850277.977,1
2014-04-20,2014-05-07,1140389.57,1908135.34,1
2014-04-20,2014-05-05,1166207.434,1882784.589,1
2014-04-20,2014-05-01,1141945.971,1902789.409,1
2014-04-21,2014-04-30,1158461.011,1934778.8,1
2014-04-21,2014-04-21,1130337.612,1865277.169,1
2014-04-21,2014-04-21,1151593.262,1832844.77,1
2014-04-21,2014-04-21,1196080.31,1853589.529,1
2014-04-21,2014-04-21,1178077.16,1869152.224,1
2014-04-21,2014-04-22,1148358.544,1929429.77,1
2014-04-21,2014-04-22,1132577.176,1935177.17,1
2014-04-21,2014-04-22,1149792.638,1933678.184,1
2014-04-21,2014-04-22,1164246.255,1923954.048,1
2014-04-21,2014-04-23,1131242.387,1933086.851,1
2014-04-21,2014-04-23,1194171.514,1837530.988,1
2014-04-21,2014-04-24,1131242.287,1933080.251,1
2014-04-21,2014-08-02,1167651.811,1842386.92,1
2014-04-21,2014-08-02,1172540.32,1845680.083,1
2014-04-21,2014-08-02,1171974.818,1853660.99,1
2014-04-21,2014-08-06,1184589.27,1840889.454,1
2014-04-21,2014-07-09,1193236.146,1852972.287,1
2014-04-21,2014-07-17,1162899.353,1835304.53,1
2014-04-21,2014-06-19,1174654.918,1829952.113,1
2014-04-21,2014-06-23,1153105.21,1851983.516,1
2014-04-21,2014-06-13,1189815.23,1843269.64,1
2014-04-21,2014-06-12,1145581,1869405.644,1
2014-04-21,2014-06-12,1172051.177,1850993.861,1
2014-04-21,2014-06-12,1136924.529,1927443.41,1
2014-04-21,2014-06-12,1160295.408,1868491.914,1
2014-04-21,2014-06-12,1150153.588,1908052.38,1
2014-04-21,2014-06-12,1167453.634,1853569.232,1
2014-04-21,2014-06-10,1141438.07,1928106.341,1
2014-04-21,2014-05-20,1158355.39,1866508.767,1
2014-04-21,2014-05-22,1167477.013,1852712.506,1
2014-04-21,2014-05-28,1132480.362,1862584.787,1
2014-04-21,2014-05-12,1197590.167,1854411.255,1
2014-04-21,2014-05-16,1159505.298,1880698.163,1
2014-04-21,2014-05-16,1180095.998,1835684.676,1
2014-04-21,2014-05-16,1175060.8,1840582.603,1
2014-04-21,2014-05-19,1143403.985,1900048.67,1
2014-04-21,2014-05-08,1159065.763,1898601.612,1
2014-04-21,2014-05-08,1161998.893,1914430.692,1
2014-04-21,2014-05-08,1127719.955,1924498.974,1
2014-04-21,2014-05-09,1168533.513,1895569.825,1
2014-04-21,2014-05-07,1136928.4,1910035.605,1
2014-04-21,2014-05-05,1166064.434,1875980.635,1
2014-04-21,2014-05-05,1165728.02,1876188.754,1
2014-04-21,2014-05-06,1157755.79,1911812.858,1
2014-04-21,2014-05-01,1173001.02,1876802,1
2014-04-21,2014-05-01,1145803.845,1862023.278,1
2014-04-22,2014-04-28,1177414.13,1877177.438,1
2014-04-22,2014-04-22,1191383.073,1860284.222,1
2014-04-22,2014-04-22,1191502.266,1856301.097,1
2014-04-22,2014-04-22,1191503.466,1856234.097,1
2014-04-22,2014-04-22,1195691.71,1853112.338,1
2014-04-22,2014-04-23,1131675.59,1925884.359,1
2014-04-22,2014-04-23,1166942.057,1922365.071,1
2014-04-22,2014-04-23,1137204.304,1895079.359,1
2014-04-22,2014-04-23,1155243.058,1917874.712,1
2014-04-22,2014-04-23,1137390.282,1865089.252,1
2014-04-22,2014-04-23,1180756.103,1835884.544,1
2014-04-22,2014-04-23,1137720.432,1865174.333,1
2014-04-22,2014-04-23,1169589.369,1925264.15,1
2014-04-22,2014-04-24,1151481.19,1933038.943,1
2014-04-22,2014-04-24,1149810.019,1933034.988,1
2014-04-22,2014-04-24,1183987.776,1876318.958,1
2014-04-22,2014-08-02,1191178.779,1855522.527,1
2014-04-22,2014-08-02,1148533.14,1906401.766,1
2014-04-22,2014-07-17,1153728.522,1888451.319,1
2014-04-22,2014-06-24,1154437.564,1868266.87,1
2014-04-22,2014-06-12,1154871.9,1830771.027,1
2014-04-22,2014-06-12,1144221.984,1918947.229,1
2014-04-22,2014-06-12,1151754.67,1908794.834,1
2014-04-22,2014-06-12,1190488.447,1855171.359,1
2014-04-22,2014-06-12,1167340.185,1834729.91,1
2014-04-22,2014-06-12,1182568.983,1835478.261,1
2014-04-22,2014-06-12,1190574.638,1852924.028,1
2014-04-22,2014-06-12,1180823.26,1857376.151,1
2014-04-22,2014-06-12,1134993.29,1867052.93,1
2014-04-22,2014-06-12,1189894.976,1853415.194,1
2014-04-22,2014-06-12,1164129.685,1851929.16,1
2014-04-22,2014-06-02,1164203.815,1871283.759,1
2014-04-22,2014-06-04,1157390.047,1865367.551,1
2014-04-22,2014-05-23,1146998.143,1915163.815,1
2014-04-22,2014-05-28,1141213.388,1861604.178,1
2014-04-22,2014-05-29,1167638.109,1842930.215,1
2014-04-22,2014-05-30,1174950.44,1820548.38,1
2014-04-22,2014-05-12,1154579.014,1908798.16,1
2014-04-22,2014-05-13,1159128.05,1910100.511,1
2014-04-22,2014-05-16,1180480.61,1833886.191,1
2014-04-22,2014-05-08,1161920.593,1914388.292,1
2014-04-22,2014-05-08,1194878.538,1853550.73,1
2014-04-22,2014-05-08,1172622.566,1913140.164,1
2014-04-22,2014-05-08,1166201.435,1899177.632,1
2014-04-22,2014-05-08,1130607.995,1917862.994,1
2014-04-22,2014-05-07,1154088.375,1908786.891,1
2014-04-22,2014-05-07,1138470.6,1910232.94,1
2014-04-22,2014-05-06,1159897.913,1931155.953,1
2014-04-23,2014-04-25,1160854.05,1918556.281,1
2014-04-23,2014-04-25,1167993.609,1932485.47,1
2014-04-23,2014-04-25,1165052.435,1934733.73,1
2014-04-23,2014-04-28,1171821.576,1883667.238,1
2014-04-23,2014-04-28,1131326.322,1867091.468,1
2014-04-23,2014-04-29,1145356.22,1937003.201,1
2014-04-23,2014-04-30,1159307.66,1937315.43,1
2014-04-23,2014-04-30,1157101.664,1875169.455,1
2014-04-23,2014-04-23,1160724.492,1934830.37,1
2014-04-23,2014-04-23,1168935.959,1912913.481,1
2014-04-23,2014-04-24,1161159.938,1873448.617,1
2014-04-23,2014-04-24,1133261.629,1938377.73,1
2014-04-23,2014-04-24,1160487.55,1931986.012,1
2014-04-23,2014-04-24,1157457.41,1879295.943,1
2014-04-23,2014-04-24,1159481.045,1926489.651,1
2014-04-23,2014-04-24,1157416.91,1879294.543,1
2014-04-23,2014-04-24,1160589.19,1881400.94,1
2014-04-23,2014-04-24,1160321.769,1879282.478,1
2014-04-23,2014-08-02,1148213.915,1905816.767,1
2014-04-23,2014-08-02,1167643.309,1842722.315,1
2014-04-23,2014-08-02,1171659.985,1853062.414,1
2014-04-23,2014-08-02,1192583.995,1853691.5,1
2014-04-23,2014-06-19,1171753.316,1838239.441,1
2014-04-23,2014-06-24,1151754.567,1867519.326,1
2014-04-23,2014-06-26,1134232.1,1918823.029,1
2014-04-23,2014-06-11,1180720.997,1837140.468,1
2014-04-23,2014-05-28,1135726.504,1869447.805,1
2014-04-23,2014-05-15,1173992.687,1864792.042,1
2014-04-23,2014-05-19,1149051.256,1919310.48,1
2014-04-23,2014-05-08,1150213.37,1906051.88,1
2014-04-23,2014-05-08,1161198.191,1828281.228,1
2014-04-23,2014-05-08,1162004.942,1831577.085,1
2014-04-23,2014-05-08,1156405.889,1887903.262,1
2014-04-23,2014-05-02,1130735.393,1860953.155,1
2014-04-23,2014-05-02,1130166.147,1861270.836,1
